example_id,conversation_id,interaction_id,conversation_context,customer_message,ground_truth_intent,historical_reference_reply,is_multi_turn,message_position,risk_tier,requires_human_escalation,escalation_reason,annotation_notes,annotation_version
GOLD_001,CONV_AH_1044940,INT_AH_1044940,,"La belleza 💙 Daytime shooting star 🌠 de @76051 y mi crush Mamura 😍 eso sí, enfadada con @116928 por los daños en la cubierta 😠 https://t.co/kKWYofirPx",,@367055 Sentimos lo sucedido. Si lo deseas puedes verificar las opciones disponibles aquí: https://t.co/h8ab5XAAi8 ^JD,False,1,,,,,phase4_v1
GOLD_002,CONV_AH_1052382,INT_AH_1052382,,"@115850 with my folded hands in request to you guys, can you explain what is going on? It has been a while since I requested this refund 😞 https://t.co/1I6qGzVvRN",,"@176522 I understand your concern, please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^SY",False,1,,,,,phase4_v1
GOLD_003,CONV_AH_1093288,INT_AH_1093288,,We are super grateful to @115821 for having a pawesome assortment of costumes for our 31 Days of Halloween Costumes in our Instagram. https://t.co/SjAbWrWKTm,,@378014 These have to be the most Dog-gone cutest pups around! Has he thought about becoming an Agent Woof for Howl-aween? ^MH,False,1,,,,,phase4_v1
GOLD_004,CONV_AH_1104636,INT_AH_1104636,,I just love how there's no option on @115821 to report a package THAT NEVER FUCKING ARRIVED🙃🙃🙃🙃🙃🙃,,"@380667 Oh no, Jillian! Is there a delay with a current order or did you receive tracking updates informing of a delivery scan? ^SK",False,1,,,,,phase4_v1
GOLD_005,CONV_AH_1109187,INT_AH_1109187,,.@AmazonHelp you'd think your customer service reps would have better spelling and grammar.  Pretty unprofessional 🤔 https://t.co/UmJRng8QMn,,@363790 I'm sorry for the unprofessional chat! Feel free to send us the details in an e-mail here: https://t.co/hApLpMlfHN ^EP,False,1,,,,,phase4_v1
GOLD_006,CONV_AH_1109512,INT_AH_1109512,,@AmazonHelp hi my package was stolen. How can I fix this?? I wasn't home at the stated delivery time so I don't know who it was handed to,,@381834 We can help you out! You can reach out to us to go through your order options: https://t.co/hApLpMlfHN ^EB,False,1,,,,,phase4_v1
GOLD_007,CONV_AH_1112609,INT_AH_1112609,,"ネットの闇だこれ😩
アマゾン見てたらワンクリックで買うってやつミスって押しちゃって勝手に買われた😩
まっ遅かれはやかれ買おうと思ってたやつだからいいか😩 https://t.co/98NLEenp6D",,@382584 失礼いたします。当サイトのご利用でわかりづらい点がありご不便をおかけしております。1-Clickの設定は、OFFに切り替えることが可能です。設定方法は、下記ヘルプページをご参照ください。https://t.co/2m2U0GP5yy SM,False,1,,,,,phase4_v1
GOLD_008,CONV_AH_1116988,INT_AH_1116988,,WHY DOES AMAZON ALWAYS CAUSE PROBLEMS FOR ME LIKE THIS IS THE 4th EFFING TIME THEY CHARGED ME FOR SUBSCRIPTIONS THAT I DIDNT SIGN UP FOR 😤😤,,"@383569 I am so sorry for the inconvenience, will you tell us the description of the subscription that was charged to your credit card?^LH",False,1,,,,,phase4_v1
GOLD_009,CONV_AH_1118642,INT_AH_1118642,,@115821 @118919 @1840 @AmazonHelp I have order oneplus5 almost 150 days back yet to receive my cashback after all the fake promise,,"@383794 I'm sorry about the delay in receiving cashback, please fill this form: https://t.co/beaaDm0muc &amp; I'll assist you in this.^SF",False,1,,,,,phase4_v1
GOLD_010,CONV_AH_1161685,INT_AH_1161685,,@115850 pathetic delivery service Amazon is doing now..having worst experience..product yet not delivered after being in out for delivery,,@299659 I'm sorry for the miss. Please fill the form using the link sent in the previous correspondence &amp; we'll contact you soon.^RI,False,1,,,,,phase4_v1
GOLD_011,CONV_AH_1163749,INT_AH_1163749,,"Why, when I was in the house and have a designated safe place, would @AmazonHelp leave my parcel in my next door neighbour's wheelie bin",,@310133 I'm sorry your parcel was left there! We're happy to document courier feedback with you here: https://t.co/JzP7hlA23B. ^EZ,False,1,,,,,phase4_v1
GOLD_012,CONV_AH_1177388,INT_AH_1177388,,Amazonで頼んだものが予定日を過ぎても届かない…まさか詐欺？？？,,@396932 ご不便をおかけしております。お調べしたうえで対応させていただきますので、Amazon発送の商品の場合は、こちらよりお問い合わせをお願いいたします。https://t.co/YpFRqxQ0cb 出品者発送の場合は、お手数ですが出品者に直接お問い合わせください。https://t.co/3C9oJ18q1n RI,False,1,,,,,phase4_v1
GOLD_013,CONV_AH_1190186,INT_AH_1190186,,"@116875 hola, hice un pedido y lo cancelaron por falta de inventario del proveedor (producto agotado), pero el cargo si se hizo a mi tarjeta de débito, ¿Como y cuando se hará la devolución de mi dinero?",,"@399743 Hola Omar, si el pedido se encuentra cancelado, puedes tener seguridad que no te cobramos, pero es posible que veas una autorización en la cuenta. Por favor, revisa con tu banco. Puedes encontrar más información en este enlace: https://t.co/MHHwfccihf ^LC",False,1,,,,,phase4_v1
GOLD_014,CONV_AH_1204874,INT_AH_1204874,,なんでAmazonてフィギュアーツとか代引きで買えないの,,@403011 商品によって「代金引換」がご利用いただけないことがございます。https://t.co/tKe8vfW4SZ 恐れ入りますが、お支払い方法選択画面で選択可能な方法でのお支払いをご検討ください。TN,False,1,,,,,phase4_v1
GOLD_015,CONV_AH_1251694,INT_AH_1251694,,. @AmazonHelp need help!,,"@413617 Could you please tell us more about your issue so that, we can assist you accordingly.^VH",False,1,,,,,phase4_v1
GOLD_016,CONV_AH_126117,INT_AH_126117,,Does @115821  offer Black Friday deals on Physical Books (not Kindle). Similar to @7109 and @7110 deals ?,,@144295 Yes we do! You can follow all Black Friday deals here: https://t.co/KLeBhaiotk ^LR,False,1,,,,,phase4_v1
GOLD_017,CONV_AH_1285139,INT_AH_1285138,,知らないだけで本当にAmazonからだったらごめーんね,,"@420610 失礼します、Amazon公式です。ご認識のとおり、こちらのメールは当サイトからお送りしたものではありません。
ご確認いただいたヘルプページにも記載しているように、当サイトの名をかたるフィッシングやなりすましメールが増えているようです。ご注意ください。 RI",False,1,,,,,phase4_v1
GOLD_018,CONV_AH_1308278,INT_AH_1308278,,アマゾンで買ったよ小さなパーツ、中国からの発送ということで余裕を持っていたけど、注文二日後に発送したところから先は行方不明。20日経っても届かない。国内に入った形跡なし、たぶん紛失だな。,,@425729 アマゾンです。ご迷惑をおかけしております。出品者にはお問い合わせ済みでしょうか。ET,False,1,,,,,phase4_v1
GOLD_019,CONV_AH_1317454,INT_AH_1317453,,"Like I was SO excited for those Corn Pops, 3 boxes all for me @115821 y y’all gotta break my heart like that",,"@427721 Hi, have you been in touch with us to arrange a refund/replacement? ^TS",False,1,,,,,phase4_v1
GOLD_020,CONV_AH_1320497,INT_AH_1320497,,@115821 we have had a disaster! No Book of Dust for avid 10 yr old Philip Pullman fan. Problem with carrier apparently :(,,@428322 Sorry to hear that. Were we able to provide a new delivery time frame? ^BM,False,1,,,,,phase4_v1
GOLD_021,CONV_AH_1344529,INT_AH_1344529,,"@AmazonHelp 
I don't want to pay for Amazon pantry delivery as I have prime and want free delivery. 
What do I do?",,@433544 Thanks for reaching out! Prime members have a flat Pantry delivery fee of €2.99. Find more info here:https://t.co/pa3pkx0DEH ^AL,False,1,,,,,phase4_v1
