interaction_id,conversation_id,customer_message,brand_response,timestamp,customer_author_id,customer_tweet_id,brand_tweet_id,calib_id,predicted_intent,requires_human_escalation,escalation_reason
INT_AH_2795365,CONV_AH_2795366,@AmazonHelp It’s my wife’s Prime acct. was suppose to be delivered yesterday UPS to Chadron Ne.,@780044 We'd like to check on this in real-time. Please reach out to us via phone or chat here: https://t.co/zboEa1eLS6 ^BE,2017-11-21T22:38:44+00:00,780044,2795365,2795367,CALIB_001,order_tracking_delivery,False,none
INT_AH_2081540,CONV_AH_2081540,@115850 @118702 Missed the sale last week. When is the sale again for Apple MacBook Air MQD32 HN/A? Happy Diwali!,@615569 We currently do not have any info on the upcoming sales. Kindly stay tuned for more deals and discounts. ^VM,2017-10-19T02:23:04+00:00,615569,2081540,2081539,CALIB_002,digital_technical_support,False,none
INT_AH_2924421,CONV_AH_2924422,@AmazonHelp My package was supposed to be delivered today. You guys sent I­t literally to the wrong state. And now aren’t updating me on the package location,"@809231 We'd like to help! Just to clarify, has your package received a delivery scan to the wrong place: https://t.co/TUb0g82A5Z? Please let us know! ^KJ",2017-11-29T19:49:09+00:00,809231,2924421,2924423,CALIB_003,order_tracking_delivery,False,none
INT_AH_1155090,CONV_AH_1155092,@AmazonHelp 6th,"@391730 As long as you're connected to Wi-Fi, your device will update automatically when available. I hope this helps! ^CS",2017-10-24T17:53:28+00:00,391730,1155090,1155089,CALIB_004,other_unclear,True,ambiguous_request
INT_AH_348516,CONV_AH_328474,@AmazonHelp I got it. It was under my old email.,"@194318 Thanks for confirming, please let us know if you need anymore help. ^JJ",2017-10-08T08:13:05+00:00,194318,348516,348517,CALIB_005,other_unclear,True,ambiguous_request
INT_AH_1238831,CONV_AH_1238829,"@AmazonHelp I've no idea who the carrier was, it just lists the seller",@335384 Is there any tracking information available on the order page? You can check for this with the link ^ST provided. ^BH,2017-11-25T21:43:10+00:00,335384,1238831,1238832,CALIB_006,product_inquiry_availability,False,none
INT_AH_2044901,CONV_AH_2044901,I’m glad that no one walking by my house wanted an antenna. Great boxing job @115821 https://t.co/a9tHdNBlkH,@604731 This looks like our frustration free packaging: https://t.co/hXDbaE4SgL. Did you select Ship in Amazon box at checkout? ^KJ,2017-10-18T22:15:22+00:00,604731,2044901,2044900,CALIB_007,other_unclear,True,ambiguous_request
INT_AH_2281462,CONV_AH_2281462,@115821 @115830 NOT HAPPY! firstly you just leave my parcel on my door step for anyone to take and secondly it is so badly wrapped that the contents fell out as my husband picked it up giving the contents away and showing him his Christmas gift! #part 1 #nothappy #amazon,"@663172 I'm sorry to hear this, Carolyn. We certainly don't intend on ruining a surprise and don't expect for this to happen! Have you had a chance to set up a safe place for your deliveries: https://t.co/AiYSzb7FCq? ^AB",2017-11-26T15:43:37+00:00,663172,2281462,2281461,CALIB_008,digital_technical_support,False,none
INT_AH_437905,CONV_AH_437905,"What is the point of having a #prime membership , if you haven't received your product even after 3 days from ordering it ? 
#Amazon #AmazonPrime @115850",@219021 Apologies for the delay in the delivery. May I know if you've reported this to our support team here: https://t.co/vlvfJr4nN9 ? ^EM,2017-11-25T05:56:40+00:00,219021,437905,437906,CALIB_009,prime_subscription_membership,False,none
INT_AH_91429,CONV_AH_91429,@AmazonHelp Thanks -- different device works. Must be internal firewall issues.,@135818 Glad to see you got on our website! If you need any help in the future please don't hesitate to contact us! ^HS,2017-11-30T15:04:24+00:00,135818,91429,91428,CALIB_010,other_unclear,True,ambiguous_request
INT_AH_1216300,CONV_AH_1216297,@AmazonHelp I don't want your sorry. I want my money back which I paid for a service which you are unable to provide.,@405401 Sorry for the trouble with your order. Please contact us here: https://t.co/vlvfJr4nN9 and we'll help you with this. ^SQ,2017-10-26T17:28:47+00:00,405401,1216300,1216301,CALIB_011,refund_return_processing,False,none
INT_AH_598002,CONV_AH_598005,"@AmazonHelp Says the package was delivered to my front door/porch this morning, immediately checked, not there. Also, USPS, historically just blows",@261766 Hmm. That is strange. Have you tried these tips to help locate a package that was marked as delivered: https://t.co/8nssgpl4TP ^ZW,2017-12-03T19:55:18+00:00,261766,598002,598000,CALIB_012,order_tracking_delivery,False,none
INT_AH_2260816,CONV_AH_2260820,@AmazonHelp Seeing as how I've been in contact with customer service 3 days in row I'm not sure that will help.,@575605 We'd like to look into this further. Please pass your order details to us here: https://t.co/hRPYriT8Ed ^RR,2017-11-11T01:43:02+00:00,575605,2260816,2260815,CALIB_013,other_unclear,True,ambiguous_request
INT_AH_604991,CONV_AH_604991,"@115821, last 2 orders with ""guaranteed"" delivery dates missed both times. Must be new policy to send on the cheap.","@263813 I'm sorry to hear this, Craig! We'd love to help out! For further clarification, have noticed a trend in carriers for these late deliveries? ^VB",2017-11-22T02:20:00+00:00,263813,604991,604990,CALIB_014,order_tracking_delivery,False,none
INT_AH_1582573,CONV_AH_1582570,@AmazonHelp I just did that. Thanks!,@162519 Perfect. You're welcome! Please let us know for any further assistance. ^BS,2017-10-17T08:38:28+00:00,162519,1582573,1582574,CALIB_015,other_unclear,True,ambiguous_request
INT_AH_1423770,CONV_AH_1423770,@115821 any chance you can employ a customer service team who speak english. I spent all day yesterday trying to cancel a pickup return only to be woken this morning by the pick up people. Sort you're business out.,@450845 Apologizes for any inconvenience caused. Was the collection confirmed as canceled for you? ^NV,2017-11-02T10:00:24+00:00,450845,1423770,1423768,CALIB_016,cancellation_modification,False,none
INT_AH_973097,CONV_AH_973093,"@AmazonHelp Thanks, hopefully it get fixed in next update...",@350788 We'll surely review it and make the necessary changes. ^AP,2017-10-22T11:32:56+00:00,350788,973097,973098,CALIB_017,other_unclear,True,ambiguous_request
INT_AH_1326289,CONV_AH_1326291,@115850 @115850 : where is winner list? Nation wants to know..,@119905 We are working towards releasing the results. Kind stay tuned. ^MJ,2017-10-27T11:16:19+00:00,119905,1326289,1326288,CALIB_018,order_tracking_delivery,False,none
INT_AH_2971982,CONV_AH_2971982,The tracking information still hasn’t updated for my Amazon order. The person assured me that it would be here tomorrow. But it hasn’t updated why? 🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️ if I don’t get my order....,"@167460 We understand your concern! It's not uncommon for an order to ship the same day it's delivered. If you don't receive your order tomorrow by 8:00PM, please contact us by phone or chat here: https://t.co/EKXRLsnxJu ^AC",2017-11-30T01:04:00+00:00,167460,2971982,2971980,CALIB_019,order_tracking_delivery,False,none
INT_AH_430060,CONV_AH_430040,"@AmazonHelp no, i am not going to share the details with you otherwise you will loose a customer, now do you want to loose a customer?","@216871 Hence, we request you to share your details from the link for us to assist you better. (2/3) ^SV",2017-10-11T01:48:05+00:00,216871,430060,430063,CALIB_020,order_tracking_delivery,False,none
INT_AH_2408693,CONV_AH_2408689,"@AmazonHelp Great, thank you!",@692611 Of course! Please reach back out to us if you have any other questions or concerns! ^KJ,2017-11-14T20:53:35+00:00,692611,2408693,2408694,CALIB_021,other_unclear,True,ambiguous_request
INT_AH_2864725,CONV_AH_2864725,@118706 you liars!!! You need to stop training your employees to lie! @115821 pls use other carriers. #uspssucks #uspslies https://t.co/VnPfE63xLI,"@795695 Oh wow! Have you contacted the carrier yet to see if they have any insight they could provide?
Let us know if you don't get your package, we'd be happy to help!  ^LL",2017-11-27T23:55:04+00:00,795695,2864725,2864724,CALIB_022,other_unclear,True,ambiguous_request
INT_AH_350782,CONV_AH_350782,@115850 worst services from your company and concerned department,@199457 I see that you have been through a bad experience. Please let us know what went wrong so that we can assist you further ^GU,2017-10-08T08:17:34+00:00,199457,350782,350781,CALIB_023,feedback_general_complaint,True,complex_unresolved_issue
INT_AH_600350,CONV_AH_600359,"@262378 @AmazonHelp Geh einfach in den Amazon Support Chat, da sagt man das kurz und bekommt direkt einen Aufkleber, zumindest bei mir lief es bei Amazon absolut vorbildlich.","@262377 Schön, dass du mit unserem Support zufrieden bist 😁 ^AN",2017-12-03T20:50:45+00:00,262377,600350,600349,CALIB_024,other_unclear,True,ambiguous_request
INT_AH_2954435,CONV_AH_2954435,@AmazonHelp how do I remove my phone number from an Alexa app?,"@745158 Hello Tyler, you can update or remove your phone number by visiting https://t.co/ykTUEmdsQA and navigating to 'Your Account' and then 'Login and Security'. ^TE",2017-11-29T18:18:32+00:00,745158,2954435,2954433,CALIB_025,digital_technical_support,False,none
INT_AH_490401,CONV_AH_490405,@AmazonHelp I was being sarcastic 😂😂 My parcel is nowhere to be seen but your website claims it's at my house.....,@231825 Have you checked to see if it was possibly delivered to your neighbor or if a notification of attempted delivery was left? Please let us know! ^KJ,2017-12-01T17:00:01+00:00,231825,490401,490403,CALIB_026,other_unclear,True,ambiguous_request
INT_AH_1736771,CONV_AH_1736771,Amazonで注文したやつ届かないよ｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡二回目だよ｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡💢,@524317 ご心配をおかけしております。お届け予定日は過ぎておりますでしょうか？お届け予定日内である場合には、恐れ入りますが、いましばらくお待ちください。万が一お届け予定日を過ぎている場合には、あとにご案内するそれぞれの方法でお問い合わせください。 TN,2017-11-07T09:28:05+00:00,524317,1736771,1736770,CALIB_027,other_unclear,True,ambiguous_request
