interaction_id,conversation_id,customer_message,brand_response,timestamp,customer_author_id,customer_tweet_id,brand_tweet_id,conversation_context,message_position,is_multi_turn,human_correctness,human_groundedness,human_helpfulness,human_policy_safety,human_total_score
INT_AH_1270236,CONV_AH_1270237,@AmazonHelp Can u please update about my cashback ???,"@417383 I get your concern, Manjeet. Please reach us from the link provided. We'll check and assist you further. ^SV",2017-10-27T02:13:35+00:00,417383,1270236,1270238,"Customer: @AmazonHelp 
Sir, what happened to Ur promise ??
Still i hv not received my cashback .

Plz respond and take necessary action ASAP https://t.co/5zYUI4PunH
AmazonHelp: @417383 We'd like to check this. Please help us with more information, here: https://t.co/vlvfJr4nN9 and we'll get back. ^YP",3,True,2,1,1,2,6
INT_AH_2973890,CONV_AH_2973890,I was so goddamn stoked to get my desk chair delivered early today and then @115821 had to go and send me the wrong color. 😤,@820180 Oh no! That's not what we strive for! Let's check out refund/replacement options here: https://t.co/riTjn0MovI ^TR,2017-11-30T01:54:52+00:00,820180,2973890,2973888,,1,False,2,2,2,2,8
INT_AH_2890509,CONV_AH_2890510,"@AmazonHelp Merci j’ai eu service. En cas de retard un dédommagement est il possible ? À chaque fois que je choisis une livraison en 1j ouvré ça arrive 3-4 jours après, j’ai un peu l’impression de payer mon abonnement prime pour du vent",@801364 Oui il suffit de le signaler à notre service client.,2017-11-28T14:46:45+00:00,801364,2890509,2890511,"Customer: @AmazonHelp Bonjour, vendredi j’ai commandé une imprimante 3D, le filament est parti mais toujours pas l’imprimante, y a un problème au niveau de la préparation de la commande ? Je vais la recevoir à temps ? https://t.co/d4XwIZZJ3G
AmazonHelp: @801364 Bonjour, je suis désolée par rapport à ce retard!
Je vous recommande de vérifier cela avec notre SAV via le lien suivant: https://t.co/hgIrz98cdI ^FT",3,True,2,1,2,2,7
INT_AH_2597078,CONV_AH_2597079,"@AmazonHelp No creo, tal vez solo naves espaciales 🚀",@735317 ¿Y qué otros consejos nos darías para que nos vaya bien en el juego? ^VM,2017-11-17T04:43:52+00:00,735317,2597078,2597080,"Customer: Muchas gracias! @116875 llegó una semana antes. Valen mil, nunca cambien. https://t.co/0MFuyhZ8qH
AmazonHelp: @735317 ¡Qué emoción! ¿Con cuál personaje juegas? ¿Crees que nos dejen competir en dragón en lugar de un coche? ^AR https://t.co/8tywUUl1j9",3,True,2,2,1,1,6
INT_AH_1603744,CONV_AH_1603748,@AmazonHelp The same message that has been there since yesterday morning at around midnight.,@492154 We'll be happy to look into that for you. Please reach out to us here: https://t.co/JzP7hlA23B ^RS,2017-11-05T08:06:32+00:00,492154,1603744,1603741,"Customer: Had an @115830  #Prime delivery not show up yesterday, it wasn't even set as next day. As if a 7am to 10pm delivery window wasn't wide enough #NoShow
AmazonHelp: @492154 Hey, sorry about the delay. What info can you see on the tracking here: https://t.co/aaDyEz1VgE ^RS",3,True,2,2,1,2,7
INT_AH_1688719,CONV_AH_1688719,"Hey! When the OnePlus 5T goes on sale on November 28 on @115850 , will it have exchange offers? I wish to exchange my OnePlus 2 :) @132994",@512768 We don't have any announcement on that yet. Request you to stay tuned to the website for more insight. ^PR,2017-11-25T13:24:10+00:00,512768,1688719,1688718,,1,False,2,2,2,2,8
INT_AH_2616370,CONV_AH_2616370,"@AmazonHelp Why is it possible to have Amazon Prime in the Netherlands such that we have one-day delivery from @116316, but is it still impossible to have any of the Fire or Echo devices delivered to the Netherlands?","@739516 We do not know, If and when this will be possible, but rest assured that we will try our best to make this possible in the future,

I have passed your feedback on to the reponsible departments.

Have a nice weekend!

- Ralph",2017-11-17T14:16:58+00:00,739516,2616370,2616369,,1,False,2,1,2,2,7
INT_AH_468810,CONV_AH_468812,"@AmazonHelp いやぁ、Amazonさんには本当にお世話になっております。
いつもありがとうございます。",@226623 こちらこそありがとうございます！これからもどうぞよろしくお願いいたします😊✨ SK,2017-12-01T06:42:51+00:00,226623,468810,468809,"Customer: ゆゆゆ見るためにAmazonプライムに入ってよかったわ
AmazonHelp: @226623 |´-`)ﾁﾗｯ　ゆゆゆ　お楽しみいただいているようでよかったです☺️✨
その他のプライム特典も、よろしければご活用くださいませ🙇‍♀️
プライム特典一覧 : https://t.co/JVlaJGORZx HM",3,True,2,2,2,2,8
INT_AH_1314405,CONV_AH_1314408,"@AmazonHelp I've been updated so many time ask your jokers Ruth J, Guddi and Mobeen even you can ask @115851 as well; I don't want to share with u",@158494 You may revert to our correspondence if there's any pending concerns. ^JC,2017-10-16T11:45:08+00:00,158494,1314405,1314407,"Customer: @115850 we r ready  for #DiwaliKiTayyari with the latest phones bt not @115850, @115851 we are ordering and @115821 #jokers issuing refund
AmazonHelp: @158494 That's certainly not the kind of words we'd like to hear. Please let us know what went wrong, did any order get canceled/return? ^EM
Customer: @AmazonHelp @115850 @115851 knows that you can check with Mobeen and Guddi of @115821 employee theses jokers never learn from the mistake. Thanks.
AmazonHelp: @158494 We'd like to know more about what went wrong. Please tell us here: https://t.co/GIJyeYqKE0 &amp; we'll get in touch with you. ^BS",5,True,2,1,2,2,7
INT_AH_1895363,CONV_AH_1895369,@AmazonHelp Por aí vocês dizem que tem como receber por um banco no Brasil. Mas na hora de pagar me dizem que não tem banco disponível no Brasil.,@564942 Você recebeu alguma resposta da equipe de KDP? ^LG,2017-10-18T14:19:52+00:00,564942,1895363,1895364,"Customer: @117086 ...Você tem alguma conta bancária em outro país?"" Aparece isso. Vocês não tem banco no Brasil???
AmazonHelp: @564942 Pode falar com o SAC (https://t.co/Qzzg8y1LhY), eles te ajudam! ^VL
Customer: @AmazonHelp oi, nene, entrei lá e só tem opções pra quem compra. não tem pra quem vende que é o meu caso. o que eu faço? já tem meses que não recebo nd.
AmazonHelp: @564942 Leoo, entra en contato mediante com a Seller Central neste link: https://t.co/1kW28m2NJ9. ^DA
Customer: @AmazonHelp @117086 poxa, gente. me ajuda :(
AmazonHelp: @564942 Leo, você entrou em contato com o Atendimento da KDP aqui: https://t.co/nr4T6rSeFA? ^LG",7,True,2,2,1,2,7
INT_AH_1691919,CONV_AH_1691924,@AmazonHelp Problem being that I called up your customer service and they didn’t sound like the knew what they were talking about at all,@513574 We still aim to dispatch your item on time to meet the delivery date. Keep us updated! ^AB,2017-11-06T20:58:24+00:00,513574,1691919,1691917,"Customer: @AmazonHelp I preordered an item back in august and you have told me that I may not actually get the item but have been charged 🤬
AmazonHelp: @513574 We're here to help! Has your order shipped? If so, have we missed the delivery date listed in your order confirmation? ^RA
Customer: @AmazonHelp I am expecting the item tomorrow but it has not been dispatched yet. At no point has any issue with the order been made
AmazonHelp: @513574 Some items can be dispatched and delivered the same day. We'd like to make sure you receive the order. Keep us posted! ^RA",5,True,1,2,2,2,7
INT_AH_58069,CONV_AH_58069,"Yeah, @115821 app be like https://t.co/5koH6lQWbZ","@129182 Are you seeing this on every item you look at? If you can send us a link to the item, we'd love to look into this further. ^MB",2017-11-01T20:20:39+00:00,129182,58069,58067,,1,False,2,2,2,2,8
